origin,dest,distance
-122.29592477915847.6236590038225,-122.295531547.6239242,0.679178699
-122.306158747.6171548,-122.306129447.6171253,0.999841564
-122.302915247.6189332,-122.30288494250147.6189334060085,0.851952802
-122.30288494250147.6189334060085,-122.302562747.6189356,0.999447221
-122.304175847.6181052,-122.304088947.6181638,0.99973881
-122.306157547.617266,-122.30592547.6173653,0.999999814
-122.307418847.616743,-122.306874747.6169686,0.999978555
-122.303649347.6184451,-122.303083447.6188213,0.817574476
-122.28935347.6116374,-122.289671647.6116388,0.952574127
-122.290394647.6116534,-122.29036947.6129065,0.002472623
-122.289339147.6124924,-122.28933447.6128084,0.006692851
-122.28935347.6116374,-122.288256447.6116274,0.997527377
-122.29036947.6129065,-122.289463147.6128966,0.000911
-122.290246747.6176419,-122.290223747.6178295,0.002472623
-122.290326247.6140663,-122.290306847.6152329,1.88E-12
-122.29028847.6165053,-122.290246747.6176419,0.00000137
-122.290306847.6152329,-122.29028847.6165053,5.91E-10
-122.29036947.6129065,-122.290326247.6140663,0.0000101
-122.292501347.6140821,-122.29242447.6141769,5.32E-08
-122.292401647.6164415,-122.292388247.6176047,0.000123
-122.292406147.6152742,-122.292401647.6164415,0.0000101
-122.292630947.6116558,-122.292578147.6129327,0.000000832
-122.292578147.6129327,-122.29257247.6139865,0.00000107
-122.292388247.6176047,-122.292371647.6181043,0.000000504
-122.292646447.6104249,-122.292630947.6116558,0.00116951
-122.299950347.6176511,-122.299370447.617645,0.095349465
-122.301239647.6176647,-122.300723647.6176592,0.119202922
-122.29645147.6236649,-122.296579947.6236045,0.97702263
-122.30270447.6129416,-122.302292447.6129415,0.622459331
-122.303083447.6188213,-122.302915247.6189332,0.851952802
-122.296201947.6129477,-122.296202147.6128742,0.095349465
-122.297210847.6227888,-122.297132647.6228419,0.731058579
-122.29689871870747.6230006440665,-122.296715147.6231253,0.970687769
-122.297132647.6228419,-122.297034347.6229086,0.562176501
-122.297509147.6225886,-122.297274247.6227458,0.92414182
-122.297274247.6227458,-122.297210847.6227888,0.817574476
-122.297575147.622544,-122.297509147.6225886,0.777299861
-122.293671447.6129453,-122.293646647.6140203,0.0000101
-122.293671447.6129453,-122.292946347.6129369,0.0000101
-122.292578147.6129327,-122.291436547.6129189,0.268941421
